episode,avg_reward
100000,-0.09225499999999903
200000,-0.08531749999999969
300000,-0.08439333333333013
400000,-0.08477374999999861
500000,-0.08346699999999994
600000,-0.08287166666666455
700000,-0.08199285714285649
800000,-0.08132187499999853
900000,-0.08141944444444252
1000000,-0.08140149999999696
1100000,-0.08138681818181477
1200000,-0.08150374999999839
1300000,-0.08128230769230552
1400000,-0.08110285714285285
1500000,-0.08106533333333027
1600000,-0.08100906249999865
1700000,-0.08117441176470513
1800000,-0.08110694444444493
1900000,-0.0809471052631578
2000000,-0.08063899999999866
2100000,-0.08078261904761944
2200000,-0.08074659090908981
2300000,-0.08060782608695445
2400000,-0.08045458333333284
2500000,-0.08039519999999974
2600000,-0.08044807692307654
2700000,-0.08046648148148104
2800000,-0.08060875000000169
2900000,-0.08063775862069217
3000000,-0.08067516666666778
3100000,-0.08081967741935404
3200000,-0.08080093749999837
3300000,-0.08095363636363377
3400000,-0.08100838235293809
3500000,-0.0809415714285659
3600000,-0.08102194444443876
3700000,-0.08094121621621111
3800000,-0.0809294736842051
3900000,-0.08099897435896639
4000000,-0.08097899999998959
4100000,-0.08096865853657359
4200000,-0.08093547619046323
4300000,-0.08092941860463804
4400000,-0.08097886363635082
4500000,-0.08096166666665422
4600000,-0.08106847826085736
4700000,-0.08092776595743609
4800000,-0.08092593749999008
4900000,-0.08079561224488711
5000000,-0.08075739999998967
5100000,-0.08080499999998905
5200000,-0.08075480769229706
5300000,-0.08076377358489452
5400000,-0.08068083333332228
5500000,-0.08061236363635248
5600000,-0.08051357142856057
5700000,-0.08049561403507653
5800000,-0.08047034482757585
5900000,-0.08047067796609117
6000000,-0.0804210833333238
6100000,-0.08037442622950049
6200000,-0.08034709677418457
6300000,-0.0803890476190398
6400000,-0.08041960937499064
6500000,-0.08040223076922035
6600000,-0.08040159090907989
6700000,-0.08041917910446919
6800000,-0.08042279411763659
6900000,-0.08039405797100303
7000000,-0.08038292857141789
7100000,-0.08033788732393272
7200000,-0.08028270833332209
7300000,-0.08021609589039629
7400000,-0.080209256756742
7500000,-0.08024366666665268
7600000,-0.08020723684209176
7700000,-0.08019415584414166
7800000,-0.08026301282049783
7900000,-0.08022525316454009
8000000,-0.08014531249998298
8100000,-0.08016314814813001
8200000,-0.08013006097559258
8300000,-0.0800951204819122
8400000,-0.08009208333331777
8500000,-0.08011223529410501
8600000,-0.08016337209301158
8700000,-0.08018247126435585
8800000,-0.08015977272726095
8900000,-0.08014286516852821
9000000,-0.08016088888887818
9100000,-0.08021879120877985
9200000,-0.08025592391303242
9300000,-0.0802923118279468
9400000,-0.08030877659573439
9500000,-0.08036273684209472
9600000,-0.08029354166665746
9700000,-0.08027603092782643
9800000,-0.08027642857141859
9900000,-0.08032388888887954
10000000,-0.08033464999998885
