episode,avg_reward
100000,-0.0824350000000002
200000,-0.08420000000000023
300000,-0.08277333333333241
400000,-0.0819437500000003
500000,-0.08307100000000053
600000,-0.08323916666666582
700000,-0.083867142857144
800000,-0.08368437500000081
900000,-0.08376444444444393
1000000,-0.08335450000000029
1100000,-0.08306272727272886
1200000,-0.08315083333333391
1300000,-0.08318807692307716
1400000,-0.0828775000000014
1500000,-0.08277233333333402
1600000,-0.08256093750000036
1700000,-0.08229705882353083
1800000,-0.08234416666666662
1900000,-0.08230157894736762
2000000,-0.08222674999999806
2100000,-0.08232619047619102
2200000,-0.08235250000000083
2300000,-0.0824897826086933
2400000,-0.08241916666666473
2500000,-0.08262479999999857
2600000,-0.08254019230769193
2700000,-0.08252907407407482
2800000,-0.08254642857143145
2900000,-0.08262689655172469
3000000,-0.08265833333333336
3100000,-0.08255854838709811
3200000,-0.08253687500000251
3300000,-0.08257757575757652
3400000,-0.08265985294117659
3500000,-0.0824389999999982
3600000,-0.08219652777777654
3700000,-0.08189797297297263
3800000,-0.08164500000000081
3900000,-0.0814006410256431
4000000,-0.08108387500000175
4100000,-0.08099658536585741
4200000,-0.08076142857143252
4300000,-0.08064941860465574
4400000,-0.08053920454545732
4500000,-0.08061866666666867
4600000,-0.08051250000000099
4700000,-0.08030425531914842
4800000,-0.08018249999999977
4900000,-0.08003540816326425
5000000,-0.07997489999999573
5100000,-0.07990647058823193
5200000,-0.07983442307691828
5300000,-0.07971047169810808
5400000,-0.07957620370369906
5500000,-0.07959090909090383
5600000,-0.0793933035714219
5700000,-0.0793328070175376
5800000,-0.07917577586206227
5900000,-0.07912932203389113
6000000,-0.07913849999999271
6100000,-0.07902147540982848
6200000,-0.07900653225805865
6300000,-0.07887309523808943
6400000,-0.0787963281249952
6500000,-0.0787773076923046
6600000,-0.07867484848484174
6700000,-0.07866656716417265
6800000,-0.07864132352940469
6900000,-0.07857289855071811
7000000,-0.0785399285714218
7100000,-0.07844387323943068
7200000,-0.07833659722221595
7300000,-0.07831226027396838
7400000,-0.07821871621621095
7500000,-0.078105533333328
7600000,-0.07809289473683734
7700000,-0.07814448051947641
7800000,-0.0780378846153792
7900000,-0.07802449367088102
8000000,-0.07797093749999538
8100000,-0.07795635802468719
8200000,-0.07798164634146006
8300000,-0.0779653012048152
8400000,-0.0778877380952341
8500000,-0.07790535294117117
8600000,-0.07781063953487986
8700000,-0.0777180459770087
8800000,-0.0777253977272688
8900000,-0.07767005617977388
9000000,-0.07767749999999739
9100000,-0.07762846153845843
9200000,-0.07756086956521595
9300000,-0.07747338709677057
9400000,-0.0774223404255281
9500000,-0.07738478947367908
9600000,-0.07732692708332863
9700000,-0.07728778350515107
9800000,-0.0772271938775483
9900000,-0.07721247474747218
10000000,-0.07724564999999868
