episode,avg_reward
100000,-0.08880500000000009
200000,-0.08035749999999907
300000,-0.07899666666666616
400000,-0.07716624999999934
500000,-0.07628300000000071
600000,-0.07552666666666516
700000,-0.07551142857142804
800000,-0.07531312499999947
900000,-0.07502055555555388
1000000,-0.07439599999999856
1100000,-0.07450681818181679
1200000,-0.07450166666666418
1300000,-0.0743407692307664
1400000,-0.07458035714285394
1500000,-0.07392399999999819
1600000,-0.07403750000000002
1700000,-0.07367264705882472
1800000,-0.07350416666666569
1900000,-0.07355026315789413
2000000,-0.07347499999999997
2100000,-0.07360857142857022
2200000,-0.07345772727272512
2300000,-0.07332108695651825
2400000,-0.07300041666666378
2500000,-0.07282739999999802
2600000,-0.0727471153846141
2700000,-0.07283407407407337
2800000,-0.07284839285714194
2900000,-0.07259948275861902
3000000,-0.07258749999999725
3100000,-0.07256225806451488
3200000,-0.07232656249999872
3300000,-0.07228787878787642
3400000,-0.07215779411764511
3500000,-0.07216342857142659
3600000,-0.07215458333333058
3700000,-0.07206202702702433
3800000,-0.07198592105263156
3900000,-0.07200487179487226
4000000,-0.07196637499999997
4100000,-0.0719558536585359
4200000,-0.07201452380952406
4300000,-0.07199813953488428
4400000,-0.07191931818181858
4500000,-0.07197344444444395
4600000,-0.0720213043478287
4700000,-0.0718917021276621
4800000,-0.07195312500000164
4900000,-0.0718979591836754
5000000,-0.0718422000000011
5100000,-0.07178549019607856
5200000,-0.071753365384614
5300000,-0.07172226415094023
5400000,-0.07165824074073553
5500000,-0.07164136363635987
5600000,-0.07169526785713838
5700000,-0.07167043859648736
5800000,-0.07169482758620324
5900000,-0.07170457627118043
6000000,-0.07169591666665938
6100000,-0.07161721311474455
6200000,-0.07159411290321804
6300000,-0.0716048412698349
6400000,-0.0716225781249926
6500000,-0.0716409999999925
6600000,-0.07162568181817432
6700000,-0.07159985074626023
6800000,-0.07159698529411077
6900000,-0.07152420289854208
7000000,-0.07153371428570318
7100000,-0.07157823943660865
7200000,-0.07147611111109954
7300000,-0.07150999999998801
7400000,-0.07146499999998705
7500000,-0.07141246666665445
7600000,-0.07135177631577651
7700000,-0.07135454545453487
7800000,-0.07127455128204228
7900000,-0.07115670886075191
8000000,-0.07116099999999315
8100000,-0.07116499999999346
8200000,-0.07110743902438366
8300000,-0.07112789156625791
8400000,-0.07109369047618255
8500000,-0.07110370588234541
8600000,-0.0710670930232508
8700000,-0.0710758045976954
8800000,-0.0710719886363585
8900000,-0.07104073033707371
9000000,-0.07102244444444071
9100000,-0.07102769230769043
9200000,-0.07103744565217296
9300000,-0.07098822580645053
9400000,-0.07096393617021071
9500000,-0.07101147368420867
9600000,-0.07098468750000034
9700000,-0.07095185567010343
9800000,-0.07094250000000116
9900000,-0.07092338383838535
10000000,-0.07094790000000217
