episode,avg_reward
100000,-0.14960649606496118
200000,-0.14836074180370895
300000,-0.14630382101274014
400000,-0.14429411073528126
500000,-0.14503129006258245
600000,-0.14428107380179175
700000,-0.14322806175437705
800000,-0.14288517860647415
900000,-0.1428784920872157
1000000,-0.14224814224814608
1100000,-0.1417014924559039
1200000,-0.14143220119350408
1300000,-0.14092549301961424
1400000,-0.14108081505772932
1500000,-0.14095576063717796
1600000,-0.14088727555455036
1700000,-0.1406142003612963
1800000,-0.14038146687859515
1900000,-0.14029244225918164
2000000,-0.14010232005115944
2100000,-0.13974982845229647
2200000,-0.13972847260384674
2300000,-0.13942049540021018
2400000,-0.13888505786877128
2500000,-0.13863165545266273
2600000,-0.1383823609162931
2700000,-0.1384633846160676
2800000,-0.13853558519128312
2900000,-0.13854108225554593
3000000,-0.13838737946245994
3100000,-0.13820956071276153
3200000,-0.13815348067296454
3300000,-0.13793640543527483
3400000,-0.13781165817990326
3500000,-0.13780189651483413
3600000,-0.13788184385607521
3700000,-0.1378962534854784
3800000,-0.1379146415564914
3900000,-0.13781759944041752
4000000,-0.13775315943829736
4100000,-0.1376036920984706
4200000,-0.13753443750821018
4300000,-0.13755177617484238
4400000,-0.13746321305983308
4500000,-0.13745558610125427
4600000,-0.13733068202842372
4700000,-0.13717651854820892
4800000,-0.13715148690657714
4900000,-0.13702584429100534
5000000,-0.13694382738878313
5100000,-0.13676149740423058
5200000,-0.13662810319772895
5300000,-0.13665342201009162
5400000,-0.1366099327055548
5500000,-0.1365942975626055
5600000,-0.13661948868205337
5700000,-0.13654186605997637
5800000,-0.1364668338735845
5900000,-0.13650349771245102
6000000,-0.1364615227435837
6100000,-0.1364333830218616
6200000,-0.13635276392786216
6300000,-0.13632272005122595
6400000,-0.13628892754514593
6500000,-0.13623394403599215
6600000,-0.13620312669744347
6700000,-0.13618606510239872
6800000,-0.13613479943159193
6900000,-0.13605081681896186
7000000,-0.13611501944500412
7100000,-0.13605121634524123
7200000,-0.1360578661191487
7300000,-0.13599953917801597
7400000,-0.13604359946534994
7500000,-0.1360196848026255
7600000,-0.13596817578528775
7700000,-0.13591183583270652
7800000,-0.13586745331633887
7900000,-0.13585989061517517
8000000,-0.135870329483793
8100000,-0.135909214309782
8200000,-0.13580794339121266
8300000,-0.13583971516141072
8400000,-0.13582495664582883
8500000,-0.13576695714905687
8600000,-0.13572030647911043
8700000,-0.13566087766217402
8800000,-0.13565615177911358
8900000,-0.135665408501735
9000000,-0.13568157063128514
9100000,-0.13570858634160382
9200000,-0.13570729735949572
9300000,-0.135649745768798
9400000,-0.13563309953544087
9500000,-0.13565775112187756
9600000,-0.13560240995859668
9700000,-0.13557161191461076
9800000,-0.13556838118046038
9900000,-0.1355807712707983
10000000,-0.1355820635582213
