episode,avg_reward
100000,-0.08660499999999956
200000,-0.08775000000000052
300000,-0.08800666666666634
400000,-0.08671625000000045
500000,-0.08601799999999969
600000,-0.08627583333333316
700000,-0.0861971428571407
800000,-0.08641624999999944
900000,-0.08676111111111105
1000000,-0.0865890000000004
1100000,-0.08587772727272616
1200000,-0.08573291666666459
1300000,-0.08602076923076883
1400000,-0.08596999999999867
1500000,-0.08601233333333204
1600000,-0.08593437499999805
1700000,-0.08575911764705638
1800000,-0.08564805555555645
1900000,-0.0860518421052636
2000000,-0.08620424999999717
2100000,-0.08627095238094944
2200000,-0.08633568181817897
2300000,-0.08626521739130337
2400000,-0.08628416666666501
2500000,-0.08654459999999889
2600000,-0.08651250000000038
2700000,-0.08648722222222117
2800000,-0.08643339285714143
2900000,-0.08667379310344411
3000000,-0.08677316666666327
3100000,-0.08667516129031824
3200000,-0.08668281249999847
3300000,-0.08674651515151388
3400000,-0.08677852941176371
3500000,-0.08683399999999801
3600000,-0.08688513888888771
3700000,-0.08692310810810668
3800000,-0.08692960526315575
3900000,-0.08674743589743475
4000000,-0.08668774999999959
4100000,-0.0866439024390257
4200000,-0.08659380952381045
4300000,-0.08662453488372054
4400000,-0.08661863636363472
4500000,-0.08667966666666606
4600000,-0.08668402173913144
4700000,-0.08669659574468223
4800000,-0.08669854166666904
4900000,-0.08668306122449188
5000000,-0.08670820000000155
5100000,-0.08664039215686546
5200000,-0.08672230769231182
5300000,-0.08667452830188921
5400000,-0.08669537037037364
5500000,-0.08663863636364003
5600000,-0.08654437500000423
5700000,-0.08656438596491736
5800000,-0.08643793103448867
5900000,-0.08650686440678779
6000000,-0.08660441666667328
6100000,-0.08653204918033519
6200000,-0.08651548387097574
6300000,-0.08652269841270795
6400000,-0.08643031250000904
6500000,-0.08641023076923887
6600000,-0.08643159090909974
6700000,-0.08642044776120074
6800000,-0.08642860294118462
6900000,-0.08636500000000967
7000000,-0.08637178571429499
7100000,-0.08639422535212198
7200000,-0.08649083333334244
7300000,-0.08643671232877129
7400000,-0.0864274324324381
7500000,-0.08638266666667388
7600000,-0.0864063815789529
7700000,-0.08643688311688655
7800000,-0.0863781410256446
7900000,-0.08632544303797468
8000000,-0.08643912500000155
8100000,-0.0863832098765434
8200000,-0.08637402439024423
8300000,-0.0864135542168682
8400000,-0.08638041666666697
8500000,-0.0864905882352972
8600000,-0.08648924418604868
8700000,-0.08642040229885227
8800000,-0.08647892045454841
8900000,-0.0865243258427003
9000000,-0.08651450000000227
9100000,-0.08659307692307944
9200000,-0.08660619565217446
9300000,-0.08660951612903266
9400000,-0.08661973404255341
9500000,-0.08660889473684294
9600000,-0.08662317708333546
9700000,-0.08658731958763123
9800000,-0.08656663265306407
9900000,-0.08659919191919524
10000000,-0.08654380000000066
