episode,avg_reward
10,-0.5
20,-0.65
30,-0.35
40,-0.33749999999999997
50,-0.3099999999999999
60,-0.29166666666666663
70,-0.27857142857142847
80,-0.31874999999999987
90,-0.3499999999999999
100,-0.3449999999999999
110,-0.3227272727272726
120,-0.3041666666666666
130,-0.2653846153846153
140,-0.23928571428571419
150,-0.24999999999999992
160,-0.2593749999999999
170,-0.2617647058823528
180,-0.2388888888888888
190,-0.1999999999999999
200,-0.19749999999999993
210,-0.2023809523809523
220,-0.1909090909090908
230,-0.19999999999999984
240,-0.19374999999999987
250,-0.19799999999999984
260,-0.18846153846153832
270,-0.174074074074074
280,-0.17142857142857137
290,-0.15862068965517237
300,-0.15999999999999995
310,-0.16774193548387092
320,-0.16562499999999997
330,-0.16969696969696962
340,-0.1573529411764705
350,-0.16142857142857137
360,-0.15972222222222218
370,-0.15945945945945939
380,-0.1657894736842105
390,-0.16538461538461535
400,-0.16374999999999998
410,-0.16829268292682922
420,-0.16428571428571426
430,-0.15348837209302327
440,-0.15000000000000002
450,-0.1466666666666667
460,-0.15978260869565222
470,-0.15744680851063833
480,-0.15625000000000006
490,-0.1612244897959184
500,-0.1580000000000001
510,-0.17058823529411776
520,-0.1711538461538463
530,-0.1754716981132077
540,-0.1675925925925927
550,-0.16545454545454555
560,-0.1607142857142858
570,-0.16140350877192988
580,-0.15517241379310354
590,-0.1449152542372882
600,-0.14250000000000007
610,-0.148360655737705
620,-0.15080645161290332
630,-0.1547619047619049
640,-0.1578125000000001
650,-0.1615384615384617
660,-0.15303030303030318
670,-0.1567164179104479
680,-0.15000000000000016
690,-0.14710144927536245
700,-0.15214285714285727
710,-0.14929577464788746
720,-0.1500000000000001
730,-0.1493150684931508
740,-0.14189189189189202
750,-0.14666666666666678
760,-0.14605263157894752
770,-0.14415584415584426
780,-0.14102564102564108
790,-0.13607594936708867
800,-0.1343750000000001
810,-0.1351851851851853
820,-0.13780487804878058
830,-0.14096385542168688
840,-0.14821428571428585
850,-0.1511764705882354
860,-0.15058139534883735
870,-0.1534482758620691
880,-0.1448863636363638
890,-0.14269662921348328
900,-0.14222222222222236
910,-0.14120879120879135
920,-0.13532608695652185
930,-0.1381720430107528
940,-0.13031914893617033
950,-0.12631578947368433
960,-0.12968750000000012
970,-0.1314432989690723
980,-0.1362244897959185
990,-0.13585858585858596
1000,-0.13650000000000007
