episode,avg_reward
10,-0.5
20,-0.6
30,-0.3833333333333333
40,-0.4375
50,-0.3799999999999999
60,-0.35
70,-0.3571428571428572
80,-0.36250000000000016
90,-0.3333333333333335
100,-0.3600000000000001
110,-0.32727272727272727
120,-0.28749999999999987
130,-0.2615384615384615
140,-0.2857142857142856
150,-0.3033333333333333
160,-0.309375
170,-0.3088235294117648
180,-0.32500000000000007
190,-0.3394736842105263
200,-0.31749999999999995
210,-0.28333333333333327
220,-0.2750000000000001
230,-0.2630434782608696
240,-0.24166666666666667
250,-0.24399999999999997
260,-0.21538461538461534
270,-0.19999999999999996
280,-0.1749999999999999
290,-0.15517241379310334
300,-0.16333333333333322
310,-0.1774193548387096
320,-0.16562499999999997
330,-0.16060606060606056
340,-0.1617647058823529
350,-0.16142857142857134
360,-0.16527777777777772
370,-0.15810810810810808
380,-0.1473684210526315
390,-0.1538461538461538
400,-0.16999999999999996
410,-0.17560975609756097
420,-0.16309523809523807
430,-0.163953488372093
440,-0.17613636363636362
450,-0.17
460,-0.16630434782608697
470,-0.16489361702127664
480,-0.16354166666666672
490,-0.17653061224489802
500,-0.17200000000000007
510,-0.1607843137254903
520,-0.16153846153846163
530,-0.1641509433962265
540,-0.17407407407407413
550,-0.1745454545454546
560,-0.16964285714285723
570,-0.16842105263157905
580,-0.160344827586207
590,-0.16271186440677973
600,-0.17000000000000004
610,-0.17377049180327875
620,-0.17500000000000004
630,-0.17539682539682544
640,-0.18203125000000003
650,-0.17923076923076925
660,-0.17727272727272728
670,-0.182089552238806
680,-0.17941176470588238
690,-0.17608695652173917
700,-0.1835714285714286
710,-0.1866197183098592
720,-0.18958333333333344
730,-0.19383561643835628
740,-0.19391891891891908
750,-0.19000000000000017
760,-0.18421052631578966
770,-0.19090909090909117
780,-0.18461538461538488
790,-0.1822784810126585
800,-0.18437500000000023
810,-0.18209876543209902
820,-0.1786585365853661
830,-0.18132530120481954
840,-0.1755952380952384
850,-0.1747058823529415
860,-0.1738372093023259
870,-0.17356321839080494
880,-0.17500000000000032
890,-0.16910112359550594
900,-0.17333333333333364
910,-0.17362637362637395
920,-0.17554347826086983
930,-0.17311827956989273
940,-0.17872340425531946
950,-0.1826315789473687
960,-0.1848958333333336
970,-0.1783505154639178
980,-0.1795918367346942
990,-0.1777777777777781
1000,-0.17900000000000033
