episode,avg_reward
10,-0.39999999999999997
20,-0.35
30,-0.43333333333333335
40,-0.36250000000000004
50,-0.33000000000000007
60,-0.32500000000000007
70,-0.27857142857142864
80,-0.26875
90,-0.238888888888889
100,-0.2350000000000001
110,-0.25000000000000006
120,-0.2708333333333333
130,-0.2423076923076923
140,-0.2571428571428571
150,-0.2799999999999999
160,-0.2812499999999999
170,-0.2676470588235293
180,-0.2749999999999999
190,-0.24736842105263152
200,-0.2575
210,-0.26190476190476186
220,-0.27272727272727276
230,-0.2739130434782609
240,-0.2708333333333333
250,-0.25999999999999995
260,-0.26538461538461533
270,-0.27037037037037026
280,-0.2571428571428571
290,-0.2551724137931035
300,-0.26000000000000006
310,-0.24838709677419366
320,-0.24687500000000015
330,-0.24545454545454556
340,-0.24852941176470597
350,-0.23857142857142866
360,-0.23055555555555568
370,-0.2256756756756758
380,-0.2223684210526317
390,-0.21666666666666679
400,-0.22250000000000011
410,-0.2365853658536586
420,-0.2428571428571429
430,-0.2372093023255814
440,-0.2409090909090909
450,-0.24666666666666665
460,-0.25
470,-0.25106382978723407
480,-0.2479166666666667
490,-0.24591836734693887
500,-0.23300000000000007
510,-0.23627450980392162
520,-0.23942307692307696
530,-0.24622641509433968
540,-0.2453703703703704
550,-0.24363636363636365
560,-0.2482142857142857
570,-0.24736842105263154
580,-0.24827586206896549
590,-0.24237288135593218
600,-0.23833333333333334
610,-0.23114754098360657
620,-0.23548387096774195
630,-0.23888888888888896
640,-0.24062500000000006
650,-0.24153846153846162
660,-0.240909090909091
670,-0.24029850746268666
680,-0.23676470588235302
690,-0.24057971014492763
700,-0.23714285714285718
710,-0.2267605633802817
720,-0.21944444444444444
730,-0.23013698630136986
740,-0.23243243243243245
750,-0.2293333333333334
760,-0.23289473684210532
770,-0.23506493506493514
780,-0.226923076923077
790,-0.2341772151898735
800,-0.23062500000000008
810,-0.230246913580247
820,-0.2323170731707318
830,-0.22771084337349407
840,-0.2315476190476191
850,-0.23588235294117654
860,-0.23720930232558146
870,-0.23678160919540236
880,-0.2301136363636364
890,-0.2264044943820225
900,-0.22611111111111115
910,-0.22582417582417585
920,-0.225
930,-0.22795698924731184
940,-0.2297872340425532
950,-0.23157894736842105
960,-0.22916666666666666
970,-0.22422680412371135
980,-0.2219387755102041
990,-0.2186868686868687
1000,-0.21949999999999997
