episode,avg_reward
10,-0.7
20,-0.5
30,-0.43333333333333335
40,-0.33749999999999997
50,-0.35
60,-0.3583333333333333
70,-0.33571428571428574
80,-0.2875000000000001
90,-0.3000000000000001
100,-0.29000000000000004
110,-0.3
120,-0.30833333333333324
130,-0.323076923076923
140,-0.332142857142857
150,-0.34999999999999987
160,-0.3218749999999999
170,-0.288235294117647
180,-0.29444444444444434
190,-0.2999999999999999
200,-0.27249999999999985
210,-0.24999999999999983
220,-0.25681818181818167
230,-0.25869565217391294
240,-0.23124999999999993
250,-0.2459999999999999
260,-0.2211538461538461
270,-0.20185185185185178
280,-0.2017857142857142
290,-0.1982758620689654
300,-0.2116666666666666
310,-0.2161290322580644
320,-0.2124999999999999
330,-0.19999999999999993
340,-0.19411764705882348
350,-0.18714285714285708
360,-0.1819444444444444
370,-0.1932432432432432
380,-0.2013157894736842
390,-0.19487179487179487
400,-0.19624999999999998
410,-0.198780487804878
420,-0.194047619047619
430,-0.17558139534883715
440,-0.18068181818181808
450,-0.17666666666666658
460,-0.1815217391304347
470,-0.19255319148936162
480,-0.19479166666666659
490,-0.18979591836734686
500,-0.18699999999999992
510,-0.20294117647058815
520,-0.1951923076923076
530,-0.1971698113207546
540,-0.1935185185185184
550,-0.1927272727272726
560,-0.19732142857142845
570,-0.1956140350877192
580,-0.1956896551724137
590,-0.1923728813559321
600,-0.18583333333333324
610,-0.1893442622950818
620,-0.19112903225806438
630,-0.1849206349206348
640,-0.18046874999999984
650,-0.18230769230769214
660,-0.1787878787878786
670,-0.17910447761194015
680,-0.1823529411764704
690,-0.1876811594202897
700,-0.18928571428571409
710,-0.18169014084507026
720,-0.1805555555555554
730,-0.18767123287671217
740,-0.1837837837837836
750,-0.18133333333333318
760,-0.18421052631578932
770,-0.1818181818181817
780,-0.1794871794871794
790,-0.1715189873417721
800,-0.17687499999999995
810,-0.17839506172839503
820,-0.17256097560975608
830,-0.1704819277108434
840,-0.17380952380952386
850,-0.1747058823529412
860,-0.17383720930232563
870,-0.17183908045977017
880,-0.16647727272727278
890,-0.16573033707865173
900,-0.16611111111111115
910,-0.1703296703296704
920,-0.16304347826086962
930,-0.16666666666666674
940,-0.17234042553191498
950,-0.1757894736842106
960,-0.17916666666666675
970,-0.17525773195876299
980,-0.17500000000000013
990,-0.1762626262626264
1000,-0.17650000000000016
